# Time (s)
0.724052
# Mem(KB) tseries,means,norms,df,dg,profile,profileIndex,Total(MB)
158.08,156.52,156.52,156.52,156.52,156.52,156.52,1.07
# Profile Length
20035
# i,tseries,profile,index
0,-34.86800000000000210,8.78750770741548592,6400
1,-39.25699999999999790,8.77790524576756326,6401
2,-40.31900000000000261,8.71490999409350131,6402
3,-38.40699999999999648,8.68200027020604814,6403
4,-38.58200000000000074,8.62648930475211984,6404
5,-39.48599999999999710,8.58989721347223423,6405
6,-39.04800000000000182,8.55831581135915087,6406
7,-39.79800000000000182,8.51785726225865325,6407
8,-39.78399999999999892,8.45582953730150599,6408
9,-38.80700000000000216,8.38893974232677664,6409
10,-41.34100000000000108,8.34914952520920473,6410
11,-40.51599999999999824,8.26159630872553485,6411
12,-41.28900000000000148,8.19192199999086235,6412
13,-38.25999999999999801,8.13090199650649481,6413
14,-38.43800000000000239,8.08630135647138459,6414
15,-40.10000000000000142,8.04803738041363914,6415
16,-37.24000000000000199,7.99775167922657282,6416
17,-36.63900000000000290,7.98374328749140894,6417
18,-37.31000000000000227,8.00158413637661070,6418
19,-38.66499999999999915,8.06960618293321197,6419
20,-37.81000000000000227,8.12448970553760219,6420
21,-38.14999999999999858,8.13922279850757491,6421
22,-42.57800000000000296,8.17710825937029284,6422
23,-40.06799999999999784,8.17718966892812915,6423
24,-37.90999999999999659,8.21607962401837355,6424
25,-38.55499999999999972,8.22373384268046159,6425
26,-37.83299999999999841,8.25489624253233956,6426
27,-37.64399999999999835,8.24866052802570771,6427
28,-38.53499999999999659,8.31193495894162560,6427
29,-43.25399999999999778,8.30503337022508958,6429
30,-41.53900000000000148,8.30948075083350624,6429
31,-43.21500000000000341,8.34025111724130142,6430
32,-40.80199999999999960,8.33097828458462253,6432
33,-39.74399999999999977,8.34737182473443617,6432
34,-39.45900000000000318,8.37668300460021165,6433
35,-39.55899999999999750,8.40920266821335360,6434
36,-39.14500000000000313,8.42924897825085040,6436
37,-38.38900000000000290,8.44359343303686494,6436
38,-38.36399999999999721,8.47179895471762734,6437
39,-40.37400000000000233,8.49846170625130526,6438
40,-41.77499999999999858,8.50587483167751479,6439
41,-40.07699999999999818,8.55594222353808753,6440
42,-41.05299999999999727,8.65497324444729266,6441
43,-39.97599999999999909,8.80670097121951478,6442
44,-38.81499999999999773,8.98663784351508532,12715
45,-38.19400000000000261,8.77691445113712021,12716
46,-40.86599999999999966,8.63170544373951465,12717
47,-41.58700000000000330,8.49608403625592068,12717
48,-39.63700000000000045,8.32474713730986160,12719
49,-37.68200000000000216,8.16187172410502271,12719
50,-39.62500000000000000,8.06890592342264412,12720
51,-40.08200000000000074,7.90407234314299156,12721
52,-39.42699999999999960,7.75480945937345645,12722
53,-38.27300000000000324,7.47624161356792083,12724
54,-37.89800000000000324,7.21431649337729919,12725
55,-27.49899999999999878,6.89204494736830409,12726
56,-25.64300000000000068,6.80769270143127070,12727
57,-27.58500000000000085,6.69208709743306240,12728
58,-14.38599999999999923,6.62342701208288354,12729
59,-9.68609999999999971,6.61468251629395620,12730
60,-8.72910000000000075,6.63705143290037114,12731
61,-6.00720000000000010,6.67738169337147447,12732
62,-2.74849999999999994,6.66097893514773798,12733
63,-2.49909999999999988,6.66670173595672733,12733
64,-0.15823999999999999,6.61679015915566904,12734
65,0.59897000000000000,6.55423194042115309,12735
66,2.40720000000000001,6.50633649211919529,12736
67,2.61819999999999986,6.50939181378558818,12737
68,4.42879999999999985,6.45266060656057761,12738
69,4.62460000000000004,6.40208174020673226,12739
70,5.90840000000000032,6.37353707403297154,12740
71,6.69259999999999966,6.33783043214506225,12741
72,5.64630000000000010,6.31125566929617321,12742
73,0.78861000000000003,6.30170556608634058,12743
74,-5.76890000000000036,6.30737841322970105,12744
75,-7.82770000000000010,6.30320889241814264,12745
76,-8.30020000000000024,6.32630969805105803,12746
77,-7.42189999999999994,6.32211078310407704,12747
78,-7.89860000000000007,6.31741440850732161,12748
79,-8.66649999999999920,6.32668825482043928,12749
80,-8.04570000000000007,6.34475962622097889,12750
81,-8.03560000000000052,6.45223441632313222,12751
82,-6.07699999999999996,6.50782905616396867,12753
83,-4.79399999999999959,6.62102255647358717,12753
84,-1.65169999999999995,6.79947673610925563,12754
85,-1.40959999999999996,7.17242760455761807,12755
86,-1.47659999999999991,7.60937139703668031,12756
87,0.00660230000000000,7.96592596250367269,12757
88,-1.80899999999999994,8.32393124262691764,12758
89,-5.53209999999999980,8.65445879097255677,12759
90,-7.20509999999999984,8.94390586826300016,12760
91,-11.89899999999999913,9.22992917877033214,12761
92,-13.92399999999999949,9.52772124174720325,12762
93,-12.62100000000000044,9.78618466727346537,12763
94,-11.61500000000000021,10.00581141140147068,12764
95,-12.65700000000000003,10.18159720837256010,12765
96,-13.73099999999999987,10.37995165674995235,12766
97,-13.38000000000000078,10.52395326259410702,34
98,-14.19899999999999984,10.58238496958878905,35
99,-14.02399999999999913,10.65249240759243676,36
100,-15.19699999999999918,10.72130559104219572,37
101,-15.08099999999999952,10.79519132066261911,38
102,-13.85100000000000087,10.91105344587881909,38
103,-15.04400000000000048,11.04506462994856797,39
104,-16.66900000000000048,11.16436552546660721,12774
105,-18.52899999999999991,11.17773485569559710,12775
106,-20.23699999999999832,11.15538131132715627,43
107,-20.57300000000000040,11.18474029423526162,43
108,-25.42299999999999827,11.25516228654270989,45
109,-24.65099999999999980,11.45631305166577896,45
110,-23.56400000000000006,11.63252625595173484,47
111,-26.76399999999999935,11.72526888694402913,8218
112,-24.43199999999999861,11.75533080665462116,8219
113,-25.69000000000000128,11.74631579802932890,8220
