# Time (s)
0.005751
# Mem(KB) tseries,means,norms,df,dg,profile,profileIndex,Total(MB)
0.39,0.34,0.34,0.34,0.34,0.34,0.34,0.00
# Profile Length
43
# i,tseries,profile,index
0,-1.15009999999999990,1.21313293073358897,15
1,-1.15369999999999995,1.16793644288781051,16
2,-1.15769999999999995,1.06327982411332389,17
3,-1.10359999999999991,1.56959422139068083,22
4,-1.13789999999999991,1.17090223772594504,30
5,-1.15559999999999996,0.91330440227197529,31
6,-1.11820000000000008,1.02306769972768308,32
7,-1.04459999999999997,1.28273517245671242,33
8,-1.07590000000000008,1.37293705027146884,34
9,-1.04370000000000007,2.55129233059201033,35
10,-1.08699999999999997,3.12299176516923271,36
11,-1.28810000000000002,1.66975472365039068,42
12,-1.29360000000000008,1.90695292688841711,0
13,-1.24910000000000010,1.78761292332017230,1
14,-1.27919999999999989,1.20050926787460743,26
15,-1.24429999999999996,1.16340237200134822,26
16,-1.28340000000000010,1.16793644288781051,1
17,-1.29990000000000006,1.06327982411332389,2
18,-1.21680000000000010,1.13622203825404089,29
19,-1.21209999999999996,1.22976399780423473,23
20,-1.18379999999999996,0.98407156802822027,24
21,-1.09820000000000007,0.99331783646704996,25
22,-0.54498999999999997,1.31425899637564414,18
23,-0.87970000000000004,0.87181375249833915,39
24,-0.67108999999999996,0.98407156802822027,20
25,-0.51644999999999996,0.99331783646704996,21
26,-0.24421999999999999,0.83707147645496216,29
27,-0.26008999999999999,1.27187429832302379,37
28,-0.19708999999999999,0.53345153035071202,37
29,-0.13583000000000001,0.83707147645496216,26
30,-0.08462799999999999,1.17090223772594504,4
31,0.04246100000000000,0.91330440227197529,5
32,0.05598800000000000,1.02306769972768308,6
33,0.35402000000000000,1.28273517245671242,7
34,0.38386999999999999,1.37293705027146884,8
35,0.36862000000000000,2.55129233059201033,9
36,0.70564000000000004,2.17135277910083291,22
37,-0.89215000000000000,0.53345153035071202,28
38,-0.90398000000000001,1.07155156801056917,25
39,-0.28478999999999999,0.87181375249833915,23
40,-0.19500999999999999,1.17563308658437093,24
41,-0.10863000000000000,1.90590620169502523,25
42,0.73107999999999995,1.24631649348769691,15
